priority,current_collection,count,issue,recommended_action,recommended_target_or_note,rationale
high,[none],164,Large number of records still unassigned,continue_record_level_assignment,"Work through by theme: African American Education, Family And Local Life, Civil Rights and Citizenship, Arts And Culture, Civic Leadership",Unassigned records still represent the single biggest structural issue in collection tagging.
high,Original SRM Intake Review,34,Workflow label still visible as collection,retire_workflow_label,"Redistribute into SRM Collection, Scott Ford Houses Collection, Photograph Collection, Civil Rights Collection, or leave unassigned pending review","This is an intake status, not a true collection identity."
high,SR,0,Abbreviated Smith Robertson label remains active,merge_and_standardize,SRM Collection,These records appear to document Smith Robertson school or museum history and should use the canonical SRM Collection label.
high,Smith Robertson,0,Smith Robertson naming variant remains active,merge_and_standardize,SRM Collection,Variant label overlaps directly with SRM Collection and should be normalized.
high,Smith robinson,0,Misspelled Smith Robertson label remains active,merge_and_standardize,SRM Collection,Misspelled variant should not remain in public-facing catalog data.
high,Jackson Advocate,0,Standalone title-based newspaper collection remains active,merge_and_standardize,Newspapers And Periodicals,Title-based micro-collections weaken consistency; Jackson Advocate issues fit the broader periodicals bucket.
high,Jackson advocate,0,Capitalization duplicate of Jackson Advocate remains active,merge_and_standardize,Newspapers And Periodicals,Case duplicate should be removed.
high,Ebony magazines,0,Singleton title-based periodical collection remains active,merge_and_standardize,Newspapers And Periodicals,Magazine title can be preserved in title/notes without needing its own collection label.
high,MS Link,0,Singleton title-based periodical collection remains active,merge_and_standardize,Newspapers And Periodicals,MS Link issues fit the broader periodicals grouping.
high,Education Collection,0,Singleton generic education label remains active,rename_or_merge,Education and Public Memory Collection,This label should become part of the broader non-Smith-Robertson education grouping.
medium,School History Collection,0,Legacy label should be fully resolved by scope,split_and_reassign,SRM Collection or Education and Public Memory Collection,"Smith Robertson-specific school history should live in SRM Collection, while broader education material should live in Education and Public Memory Collection."
medium,Education and Public Memory Collection,39,New canonical non-Smith-Robertson education bucket now active,keep_and_expand,Education and Public Memory Collection,"Use this for broader school, college, teacher-training, and educational-memory material not specifically documenting Smith Robertson."
medium,SRM Collection,64,Now better defined but still mixed,continue_triage,Keep direct Smith Robertson school/museum history; continue reviewing broader museum/exhibit and miscellaneous materials,SRM Collection should not become a catchall again.
medium,Farish Street Business District Collection,5,Now viable but still small,keep_and_monitor,Farish Street Business District Collection,Recent reassignment made this more coherent; continue adding clearly Farish-centered records only.
medium,Scott Ford Houses Collection,9,Newly coherent named cluster,keep_and_expand,Scott Ford Houses Collection,This now reads as a meaningful cluster and should absorb clearly Scott Ford-centered records going forward.
medium,Museum Library,13,Format-based grouping may still contain mixed subject material,review_scope,Museum Library,"Keep as internal handling group if useful, but confirm whether some items belong in topical or named donor collections instead."
medium,Material Culture Collection,5,Small thematic grouping remains mixed,review_scope,Material Culture Collection or SRM Collection,Decide whether this remains a distinct object cluster or folds into SRM Collection for museum-owned miscellaneous objects.
medium,Civic Leadership Collection,5,Small topical grouping overlaps biographical/civic cluster,review_scope,Biographical and Civic History Collection,"Could remain if it grows, but may be stronger folded into the broader civic archive."
medium,Art Collection,5,Small arts-only grouping overlaps other arts records,review_scope,Art Collection or SRM Collection,Decide whether to preserve as a discrete art object collection or absorb into a larger museum-owned arts bucket.
medium,Photograph Collection,21,Generic format collection still used heavily,review_scope,Photograph Collection,"Useful as a fallback, but many records may eventually fit named donor or neighborhood-based collections."
medium,Biographical and Civic History Collection,14,Stronger after reassignment but still broad,keep_and_clean,Biographical and Civic History Collection,Viable bucket for named individuals and civic biographies; continue consolidating duplicate civic labels here.
medium,Civil Rights Collection,9,Improved but still selective,keep_and_clean,Civil Rights Collection,Good topical cluster; continue moving clearly civil-rights campaign and movement records here.
low,Youngs Collection,77,Strong named collection,keep,Youngs Collection,Large and coherent.
low,Dr. Townsend Collection,67,Strong named collection,keep,Dr. Townsend Collection,Large and coherent though metadata still needs review.
low,John and Vera Mae Perkins Collection,57,Strong named collection,keep,John and Vera Mae Perkins Collection,Large and interpretively strong.
low,R. Jess Brown Collection,52,Strong named collection,keep,R. Jess Brown Collection,Large and coherent.
low,Dr. S. D. Redmond Collection,52,Strong named collection,keep,Dr. S. D. Redmond Collection,Large and coherent.
low,B. Baldwin Dansby Collection,41,Strong named collection,keep,B. Baldwin Dansby Collection,Large and coherent.
