priority,accession_number,title,record_type,collection_name,historical_theme,people,object_date,donor,neighborhood,observation_reasons,notes
high,SRM-2026-021,"Barber tools group including brush, sharpening stones, and razor accessories",Artifact,Barbering and Community Life Collection,Black Business and Professional Life,,,,,tentative interpretation; grouped objects / may need split; missing object date; missing donor/provenance; missing geography/neighborhood,Image appears to show multiple objects grouped together. Consider splitting into individual records after physical inventory.
high,SRM-2026-022,Wester Bros. Hi-Car-Bin Steel barber implement case or razor box,Artifact,Barbering and Community Life Collection,Black Business and Professional Life,,,,,verify/confirm language; missing object date; missing donor/provenance; missing geography/neighborhood,"Confirm whether this is a razor, case, strop, or hone. Brand text visible in photograph."
high,SRM-2026-023,Barber tools group including hand clippers and brush,Artifact,Barbering and Community Life Collection,Black Business and Professional Life,,,,,tentative interpretation; grouped objects / may need split; missing object date; missing donor/provenance; missing geography/neighborhood,Image appears to show multiple objects grouped together. Consider creating separate item records if inventory numbers exist.
high,SRM-2026-025,Black-and-white photograph of gathering along riverbank,Photograph,Photograph Collection,Family And Local Life,,,,,verify/confirm language; tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,Unidentified location and date. Verify whether there is writing on verso.
high,SRM-2026-026,Black-and-white photograph of agricultural field work,Photograph,Photograph Collection,Agriculture and Labor,,,,,tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,"Exact activity, location, and date are uncertain from the image alone."
high,SRM-2026-027,Black-and-white photograph of agricultural processing scene,Photograph,Photograph Collection,Agriculture and Labor,,,,,tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,Image has glare in the lower portion; identify machinery and location during cataloging.
high,SRM-2026-032,Fragmentary clipping about Wilson Brown and the Medal of Honor,Archive,Military and Civic History Collection,Military Service,Wilson Brown,,,,verify/confirm language; tentative interpretation; missing object date; missing donor/provenance; missing geography/neighborhood,Text is partial and the object appears torn or incomplete. Verify source publication and complete caption.
high,SRM-2026-033,Photograph of elderly woman standing outdoors,Photograph,Photograph Collection,Portraiture and Community Memory,,,,,tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,Subject and location unidentified from the image alone. Check verso or associated materials for identification.
high,SRM-2026-034,Printed portrait of John R. Lynch,Archive,Biographical and Civic History Collection,Portraiture and Community Memory,John R. Lynch,,,,tentative interpretation; missing object date; missing donor/provenance; missing geography/neighborhood,Image may be a reproduction from a publication rather than an original photograph. Identification updated from image review.
high,SRM-2026-035,Printed portrait of Hiram Revels,Archive,Biographical and Civic History Collection,Portraiture and Community Memory,Hiram Revels,,,,verify/confirm language; tentative interpretation; missing object date; missing donor/provenance; missing geography/neighborhood,"Image may be a reproduction from a book, pamphlet, or exhibit panel. Identification updated from image review; confirm source."
high,SRM-2026-036,Framed display of note labeled 'The State of England' one dollar,Artifact,Material Culture Collection,Material Culture and Interpretation,,,,,verify/confirm language; tentative interpretation; missing object date; missing donor/provenance; missing geography/neighborhood,"Identification is uncertain from the image alone. Verify whether the note is original, reproduction, or exhibit facsimile."
