priority,current_collection,count,recommended_action,recommended_collection_name,recommended_target_or_note,rationale
high,[none],225,review_and_assign,[unassigned review queue],"Largest unresolved group; likely needs assignment into named collections, especially education, family/local life, civil rights, and arts clusters.","Too many public records are currently uncollected, which weakens discovery and interpretive coherence."
high,Biographical And Civic History Collection,1,merge_and_standardize,Biographical and Civic History Collection,Biographical and Civic History Collection,Capitalization duplicate; same collection concept should not exist twice.
high,Jackson advocate,1,merge_and_standardize,Jackson Advocate,Jackson Advocate,Case duplicate; should collapse into one canonical collection label.
high,Smith robinson,1,merge_and_standardize,Smith Robertson,Smith Robertson,Spelling variant; should be normalized to the museum/school name already used elsewhere.
high,Archives Collection,1,retire_singleton,[reassign],Biographical and Civic History Collection or SRM Collection,Too generic for a single record and not interpretively useful as a public-facing collection.
high,Education Collection,1,retire_singleton,Education and Public Memory Collection,Education and Public Memory Collection,Single-item generic education bucket should be absorbed into a broader non-Smith-Robertson education collection.
high,Political History Collection,1,retire_singleton,[reassign],Civil Rights Collection or Biographical and Civic History Collection,One-item collection is too thin and overlaps broader civic/legal interpretation.
high,Military and Civic History Collection,1,retire_singleton,[reassign],WWII Soldiers Collection or Biographical and Civic History Collection,Single-item bucket is not sustainable and overlaps existing military/civic structures.
high,Church and Community History Collection,1,retire_singleton,[reassign],SRM Collection or leave uncollected until a true church cluster exists,One Mount Helm directory does not yet justify a standalone collection.
high,Museum Administrative Records,1,retire_singleton,[reassign],Original SRM Intake Review or SRM Collection,Internal administrative material can stay together only if there are more records; one item does not justify a named collection.
high,Personal Papers And Memorabilia,1,retire_singleton,[reassign],Biographical and Civic History Collection,Too generic and too small for a standalone collection.
high,MS Link,1,retire_singleton,[reassign],Newspapers And Periodicals,Single serial title fits better inside the periodicals grouping than as its own collection.
high,Ebony magazines,1,retire_singleton,[reassign],Newspapers And Periodicals,Single serial title fits better inside the periodicals grouping than as its own collection.
high,Jackson Advocate,2,merge_and_expand,Newspapers And Periodicals,Newspapers And Periodicals,Two Jackson Advocate records should likely live inside the broader periodicals collection unless a much larger newspaper cluster is being built.
high,Farish Street Business District Collection,2,retire_micro_collection,[reassign],SRM Collection or no collection / Farish Street exhibit tagging only,Two records are not enough for a stable named collection; better as theme/exhibit material than archive collection.
medium,Smith Robertson,2,merge_and_standardize,SRM Collection,SRM Collection; absorb SR and Smith robinson variants,Small Smith Robertson-labeled bucket should become part of the canonical SRM Collection for school and museum history.
medium,Museum Object Collection,3,merge_or_expand,SRM Collection,SRM Collection,Three generic object records do not yet justify a separate collection unless many more museum-object entries are coming.
medium,Material Culture Collection,4,merge_or_expand,SRM Collection,SRM Collection or expanded material-culture bucket,Current contents are mixed and small; likely better folded into SRM Collection unless a larger material-culture archive is planned.
medium,Barbering and Community Life Collection,4,keep_for_now,Barbering and Community Life Collection,Keep if more barber/parlor/barbershop records are expected,This is small but interpretively coherent and potentially strong within 2nd-floor themes.
medium,Art Collection,5,merge_or_expand,SRM Collection,SRM Collection or a larger arts-focused named collection,Current art set is coherent but too small and overlaps broader arts interpretation.
medium,Civic Leadership Collection,5,merge_or_expand,Biographical and Civic History Collection,Biographical and Civic History Collection,Small but coherent; likely stronger as part of the broader civic/biographical archive unless intentionally foregrounded.
medium,Civil Rights Collection,6,keep_for_now,Civil Rights Collection,Possible later relationship to R. Jess Brown Collection,Small but coherent enough to keep if it continues growing.
medium,Programs And Ephemera,6,review_scope,Programs And Ephemera,Could fold into SRM Collection or Newspapers And Periodicals for some items,"Format-based collections can work internally, but some current items may fit better by subject or donor cluster."
medium,Museum Library,9,keep_internal_only,Museum Library,Internal/library grouping rather than public-facing collection,"Works as an internal handling category, but likely should not be foregrounded interpretively."
medium,SR,9,merge_and_standardize,SRM Collection,SRM Collection,Abbreviated label should be normalized into the canonical SRM Collection for Smith Robertson school and museum history.
medium,Biographical and Civic History Collection,10,keep_and_clean,Biographical and Civic History Collection,Absorb duplicate capitalization variant and possibly Civic Leadership Collection,"This is a viable broader bucket, but it should become the canonical civic/biographical grouping."
medium,School History Collection,10,rename_and_reframe,Education and Public Memory Collection,"Use for non-Smith-Robertson school, college, and broader education material.",Current name is too close to Smith Robertson school history; a broader education-facing name better distinguishes other school material.
medium,WWII Soldiers Collection,10,keep_and_clean,WWII Soldiers Collection,Possible future expansion,Named cluster is coherent and interpretable even though still modest in size.
medium,Photograph Collection,20,review_scope,Photograph Collection,Could split or reassign many records by subject or donor cluster over time,Format-only collection is usable internally but weak interpretively; many entries may belong elsewhere.
medium,Smith Robertson Photograph Collection,22,keep_and_clean,Smith Robertson Photograph Collection,Review relationship to Photograph Collection,This is a stronger named photograph cluster than the generic Photograph Collection and likely worth preserving.
medium,Original SRM Intake Review,39,retire_workflow_label,[reassign],[workflow bucket only; remove from public-facing collection field over time],"This reads like an intake/workflow status, not a stable collection. Records should be redistributed once identified."
low,B. Baldwin Dansby Collection,41,keep,B. Baldwin Dansby Collection,Keep,Strong named collection with sufficient volume and coherence.
low,SRM Collection,46,keep_and_define,SRM Collection,Use for records documenting Smith Robertson School and Smith Robertson Museum history; not as a generic catchall.,"SRM Collection should be the canonical bucket for the history of Smith Robertson School and the museum, rather than a broad fallback for miscellaneous holdings."
low,R. Jess Brown Collection,52,keep,R. Jess Brown Collection,Keep,Strong named collection with clear interpretive identity and sufficient volume.
low,Dr. S. D. Redmond Collection,52,keep,Dr. S. D. Redmond Collection,Keep,Strong named collection with sufficient volume and coherence.
low,John and Vera Mae Perkins Collection,57,keep,John and Vera Mae Perkins Collection,Keep,Strong named family/community collection and a good spotlight cluster.
low,Dr. Townsend Collection,67,keep_and_review,Dr. Townsend Collection,Keep but continue metadata cleanup,"Strong volume, though many records still need subject identification and collection-level framing."
low,Youngs Collection,77,keep_and_review,Youngs Collection,Keep but continue metadata cleanup,"Strong volume and internal coherence, though many portraits still need identification."
